epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.26171875,1.1882152557373047,0.0,44.04609298706055
1,0.75,2.124967575073242,0.0,25.95976448059082
2,0.201171875,15.085296630859375,0.0,8.76805591583252
3,0.572265625,1.7529797554016113,0.0,15.39218807220459
4,0.46875,3.9997096061706543,0.0,13.184974670410156
5,0.712890625,1.488560676574707,0.0,15.8734769821167
6,0.66015625,2.0454230308532715,0.0,13.558337211608887
7,0.638671875,0.9556306600570679,0.0,2.2889182567596436
8,0.458984375,1.496767282485962,0.0,73.54999542236328
9,0.6796875,1.0978292226791382,0.0,249.39999389648438
10,0.509765625,3.9498605728149414,0.0,574.3999633789062
11,0.7109375,5.977104187011719,0.0,204.79998779296875
12,0.380859375,7.206123352050781,1.0,102.40000915527344
13,0.435546875,15.274803161621094,1.0,64.0
14,0.4296875,10.251319885253906,0.0,1630.39990234375
15,0.31640625,43.92472839355469,0.0,2452.800048828125
16,0.240234375,82.834716796875,0.0,3331.19970703125
17,0.29296875,104.36466979980469,0.0,2496.0
18,0.2578125,156.07723999023438,0.0,1903.9998779296875
19,0.2578125,160.0513458251953,0.0,595.8931884765625
20,0.310546875,174.20843505859375,1.0,25.600000381469727
21,0.330078125,243.11163330078125,1.0,147.1999969482422
22,0.30078125,311.278076171875,1.0,236.80001831054688
23,0.302734375,368.966552734375,1.0,358.3999938964844
24,0.283203125,430.5129089355469,1.0,320.0
25,0.267578125,541.6712646484375,1.0,115.20001220703125
26,0.3046875,766.832275390625,1.0,160.0
27,0.2578125,748.2894897460938,1.0,166.40000915527344
28,0.283203125,798.5367431640625,1.0,147.1999969482422
29,0.259765625,1006.7274169921875,1.0,102.4000015258789
30,0.2421875,1048.9854736328125,1.0,96.0
31,0.279296875,1321.5205078125,1.0,76.80000305175781
32,0.287109375,1195.2978515625,1.0,44.79999923706055
33,0.265625,1530.302001953125,1.0,22.399999618530273
34,0.263671875,1560.6317138671875,1.0,12.800000190734863
35,0.28125,1473.688720703125,1.0,11.199999809265137
36,0.294921875,1712.890380859375,1.0,11.199999809265137
37,0.263671875,1694.5767822265625,0.0,4.298612117767334
38,0.236328125,1995.04736328125,0.0,4.298612117767334
39,0.244140625,1954.3441162109375,0.0,4.298612117767334
40,0.29296875,2082.5595703125,0.0,33.49314498901367
41,0.29296875,1997.304931640625,0.0,32.693145751953125
42,0.267578125,2122.8369140625,0.0,33.599998474121094
43,0.265625,2158.468994140625,0.0,32.693145751953125
44,0.2734375,2121.525390625,0.0,32.693145751953125
45,0.279296875,2058.46435546875,0.0,31.893142700195312
46,0.263671875,2106.64892578125,0.0,61.19999694824219
47,0.3203125,2155.322021484375,0.0,76.0
48,0.302734375,2149.42041015625,0.0,61.093143463134766
49,0.2734375,2190.626953125,0.0,82.60033416748047
