epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.0625,2.5263359546661377,0.0,2.5095787048339844
1,0.65625,1.5193819999694824,0.0,2.5729079246520996
2,0.78125,1.1974760293960571,0.0,2.679507255554199
3,0.875,0.9546735882759094,0.0,2.7425296306610107
4,0.90625,0.8434796333312988,0.0,2.7932982444763184
5,0.953125,0.8088372945785522,0.0,2.865600824356079
6,0.9375,0.8739070892333984,0.0,2.932790756225586
7,0.90625,0.8370903134346008,0.0,2.9520862102508545
8,0.953125,0.7432920932769775,0.0,2.964351177215576
9,0.953125,0.7494333982467651,0.0,2.955836534500122
10,0.9375,0.8678655624389648,0.0,2.954606056213379
11,0.953125,0.6888254880905151,0.0,2.9497509002685547
12,0.96875,0.7423398494720459,0.0,2.939108371734619
13,0.921875,0.7154350280761719,0.0,2.919067621231079
14,0.984375,0.6633491516113281,0.0,2.8900842666625977
15,0.671875,1.3379933834075928,0.0,2.9015700817108154
16,0.78125,1.263395071029663,0.0,2.935417652130127
17,0.75,1.2536559104919434,0.0,2.97574520111084
18,0.890625,0.9176881313323975,0.0,3.029623031616211
19,0.890625,0.9979598522186279,0.0,3.079430103302002
20,0.921875,0.9538158178329468,0.0,3.1185829639434814
21,0.875,1.015913724899292,0.0,3.1697239875793457
22,0.90625,0.998924970626831,0.0,3.2148447036743164
23,0.890625,1.0468926429748535,0.0,3.244070529937744
24,0.921875,1.0006639957427979,0.0,3.264253616333008
25,0.828125,1.0559334754943848,0.0,3.289900064468384
26,0.96875,0.8354920148849487,0.0,3.303750514984131
27,0.96875,0.8032996654510498,0.0,3.314065933227539
28,0.90625,0.9344561100006104,0.0,3.3146188259124756
29,0.953125,0.8631864786148071,0.0,3.3156514167785645
30,0.90625,0.9177683591842651,0.0,3.319636583328247
31,0.96875,0.7680168151855469,0.0,3.3183093070983887
32,0.9375,0.8626888990402222,0.0,3.324702262878418
33,0.890625,0.9347413778305054,0.0,3.3231778144836426
34,0.921875,1.0151313543319702,0.0,3.3314268589019775
35,0.9375,0.9299669861793518,0.0,3.3401756286621094
36,0.921875,0.9082357883453369,0.0,3.356538772583008
37,0.90625,0.9176081418991089,0.0,3.368377208709717
38,0.953125,0.8327017426490784,0.0,3.375478744506836
39,0.90625,0.8539116382598877,0.0,3.3953230381011963
40,0.953125,0.8602336049079895,0.0,3.4042317867279053
41,0.9375,0.7737817764282227,0.0,3.4204816818237305
42,0.984375,0.7623445987701416,0.0,3.4399349689483643
43,0.90625,0.8296078443527222,0.0,3.453033924102783
44,0.9375,0.786117672920227,0.0,3.4664034843444824
45,0.984375,0.8035880923271179,0.0,3.4898386001586914
46,0.953125,0.7972247004508972,0.0,3.505054235458374
47,0.96875,0.7529865503311157,0.0,3.516842842102051
48,0.9375,0.8457737565040588,0.0,3.542330265045166
49,0.921875,0.8633705377578735,0.0,3.554507255554199
